UserId,GivenName,Surname,EmailAddress,Password,TelephoneNumber,CC_Provider,CC_Number
1,Bobby,Dickerson,BobbyDDickerson@armyspy.com,oom1duH0quei,310-706-5713,Visa,4581172250956295
2,John,Horan,JohnMHoran@cuvox.de,uM0zohG5,802-906-9635,Visa,4833554465137429
3,Lula,Benjamin,LulaTBenjamin@einrot.com,ohF0zooquu1,641-740-3120,Visa,4173199486453080
4,Franklin,Hills,FranklinIHills@rhyta.com,eeWahXo5ee,402-647-8591,Visa,4937182773835950
5,Samuel,Blevins,SamuelCBlevins@cuvox.de,TaeXo2OoV8u,815-982-3812,American Express,379823789416348
6,William,Raymond,WilliamRRaymond@cuvox.de,Jiech8aiCh,732-432-0200,American Express,345650978113056
7,Janice,Robertson,JaniceRRobertson@superrito.com,kohgae4OeGh,479-214-4112,American Express,375651072455574
8,Lashawn,Lambert,LashawnTLambert@einrot.com,Lu0icho2yee,859-955-0616,American Express,342691124360073
9,Vanessa,Seals,VanessaGSeals@dayrep.com,tooWee3Mo6ae,417-629-4257,Mastercard,5513462587501850
10,Bethany,Tong,BethanyETong@dayrep.com,ahC7Veigha,937-260-7087,Mastercard,5345523630534291
